country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Ireland,IE,IRL,4904240,2020-10-17T00:00:00.0000000,260,30,Country_Website
Italy,IT,ITA,60359546,2020-10-17T00:00:00.0000000,7322,705,Country_Github
Latvia,LV,LVA,1919968,2020-10-17T00:00:00.0000000,69,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-17T00:00:00.0000000,53,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-17T00:00:00.0000000,,389,Other Website
Poland,PL,POL,37972812,2020-10-17T00:00:00.0000000,1612,,Country_Website
Portugal,PT,PRT,10276617,2020-10-17T00:00:00.0000000,1012,148,Country_Website
Romania,RO,ROU,19414458,2020-10-17T00:00:00.0000000,,745,Country_Website
Slovakia,SK,SVK,5450421,2020-10-17T00:00:00.0000000,614,,JRC
Slovenia,SI,SVN,2080908,2020-10-17T00:00:00.0000000,250,44,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-17T00:00:00.0000000,6251,,Country_Website
Austria,AT,AUT,8858775,2020-10-16T00:00:00.0000000,706,122,Country_Website
Belgium,BE,BEL,11455519,2020-10-16T00:00:00.0000000,2099,358,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-16T00:00:00.0000000,1426,74,External_Github
Croatia,HR,HRV,4076246,2020-10-16T00:00:00.0000000,505,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-16T00:00:00.0000000,3415,596,Country_Website
Denmark,DK,DNK,5806081,2020-10-16T00:00:00.0000000,110,16,Country_Website
Estonia,EE,EST,1324820,2020-10-16T00:00:00.0000000,32,3,Country_API
Finland,FI,FIN,5517919,2020-10-16T00:00:00.0000000,56,6,External_Github
France,FR,FRA,67012883,2020-10-16T00:00:00.0000000,10021,1791,Country_Website
Hungary,HU,HUN,9772756,2020-10-16T00:00:00.0000000,1642,171,JRC
Ireland,IE,IRL,4904240,2020-10-16T00:00:00.0000000,244,30,Country_Website
Italy,IT,ITA,60359546,2020-10-16T00:00:00.0000000,6816,638,Country_Github
Latvia,LV,LVA,1919968,2020-10-16T00:00:00.0000000,63,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-16T00:00:00.0000000,49,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-16T00:00:00.0000000,,394,Other Website
Norway,NO,NOR,5328212,2020-10-16T00:00:00.0000000,28,,Country_API
Poland,PL,POL,37972812,2020-10-16T00:00:00.0000000,6980,,Country_Website
Portugal,PT,PRT,10276617,2020-10-16T00:00:00.0000000,1015,144,Country_Website
Romania,RO,ROU,19414458,2020-10-16T00:00:00.0000000,,726,Country_Website
Slovakia,SK,SVK,5450421,2020-10-16T00:00:00.0000000,540,,JRC
Slovenia,SI,SVN,2080908,2020-10-16T00:00:00.0000000,240,43,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-16T00:00:00.0000000,6017,,Country_Website
Austria,AT,AUT,8858775,2020-10-15T00:00:00.0000000,664,119,Country_Website
Belgium,BE,BEL,11455519,2020-10-15T00:00:00.0000000,1951,327,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-15T00:00:00.0000000,1380,67,External_Github
Croatia,HR,HRV,4076246,2020-10-15T00:00:00.0000000,439,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-15T00:00:00.0000000,3120,551,Country_Website
Denmark,DK,DNK,5806081,2020-10-15T00:00:00.0000000,104,17,Country_Website
Estonia,EE,EST,1324820,2020-10-15T00:00:00.0000000,36,3,Country_API
France,FR,FRA,67012883,2020-10-15T00:00:00.0000000,9584,1741,Country_Website
Hungary,HU,HUN,9772756,2020-10-15T00:00:00.0000000,1555,167,JRC
Ireland,IE,IRL,4904240,2020-10-15T00:00:00.0000000,238,29,Country_Website
Italy,IT,ITA,60359546,2020-10-15T00:00:00.0000000,6382,586,Country_Github
Latvia,LV,LVA,1919968,2020-10-15T00:00:00.0000000,70,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-15T00:00:00.0000000,41,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-15T00:00:00.0000000,,358,Other Website
Norway,NO,NOR,5328212,2020-10-15T00:00:00.0000000,24,,Country_API
Poland,PL,POL,37972812,2020-10-15T00:00:00.0000000,6538,,Country_Website
Portugal,PT,PRT,10276617,2020-10-15T00:00:00.0000000,993,139,Country_Website
Romania,RO,ROU,19414458,2020-10-15T00:00:00.0000000,,721,Country_Website
Slovakia,SK,SVK,5450421,2020-10-15T00:00:00.0000000,476,,JRC
Slovenia,SI,SVN,2080908,2020-10-15T00:00:00.0000000,222,40,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-15T00:00:00.0000000,5673,,Country_Website
Belgium,BE,BEL,11455519,2020-10-14T00:00:00.0000000,1778,313,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-14T00:00:00.0000000,1307,64,External_Github
Croatia,HR,HRV,4076246,2020-10-14T00:00:00.0000000,441,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-14T00:00:00.0000000,2920,543,Country_Website
Denmark,DK,DNK,5806081,2020-10-14T00:00:00.0000000,104,17,Country_Website
Estonia,EE,EST,1324820,2020-10-14T00:00:00.0000000,35,3,Country_API
Finland,FI,FIN,5517919,2020-10-14T00:00:00.0000000,48,8,External_Github
France,FR,FRA,67012883,2020-10-14T00:00:00.0000000,9173,1664,Country_Website
Hungary,HU,HUN,9772756,2020-10-14T00:00:00.0000000,1538,156,JRC
Ireland,IE,IRL,4904240,2020-10-14T00:00:00.0000000,234,30,Country_Website
Italy,IT,ITA,60359546,2020-10-14T00:00:00.0000000,6009,539,Country_Github
